@RELATION movie
@ATTRIBUTE duration {Short,Regular,Long,Very_Long}
@ATTRIBUTE awardedDirector {0,1}
@ATTRIBUTE oscarDirector {0,1}
@ATTRIBUTE awardedActor {0,1}
@ATTRIBUTE oscarActor {0,1}
@ATTRIBUTE genre {Drama,Horror,Action,Comedy,Others}
@ATTRIBUTE certificate {G, R, PG_13, PG, NOT_RATED}
@ATTRIBUTE rating {Bad,Regular,Good}
@DATA
Regular,0,0,1,0,Comedy,NOT_RATED,Bad
Regular,0,0,1,0,Comedy,R,Regular
Short,1,0,1,0,Comedy,NOT_RATED,Good
Regular,1,0,1,0,Action,R,Regular
Regular,1,0,1,0,Comedy,R,Regular
Regular,0,0,1,0,Comedy,PG,Regular
Regular,1,0,1,0,Action,PG_13,Bad
Regular,1,0,1,0,Action,PG,Regular
Short,0,0,1,0,Action,R,Regular
Regular,1,0,1,0,Action,PG_13,Regular
Regular,1,0,1,0,Comedy,PG,Bad
Short,1,0,1,0,Horror,R,Bad
Regular,1,0,1,0,Comedy,PG_13,Good
Short,0,0,1,0,Action,R,Bad
Regular,1,0,1,0,Comedy,PG,Regular
Regular,0,0,1,0,Comedy,R,Bad
Regular,1,0,1,0,Drama,PG_13,Good
Regular,1,0,1,0,Drama,R,Good
Regular,1,0,1,0,Drama,R,Regular
Regular,1,0,1,0,Drama,NOT_RATED,Regular
Regular,1,0,1,0,Drama,PG_13,Regular
Long,1,0,1,0,Drama,R,Regular
Regular,1,0,1,0,Drama,R,Regular
Regular,0,0,1,0,Action,R,Regular
Short,0,0,0,0,Comedy,NOT_RATED,Bad
Regular,0,0,1,0,Drama,R,Regular
Long,1,0,1,0,Drama,NOT_RATED,Regular
Regular,1,0,1,0,Comedy,PG,Regular
Regular,1,0,1,0,Comedy,R,Regular
Regular,1,0,1,0,Drama,R,Regular
Regular,0,0,1,0,Horror,R,Regular
Short,1,0,1,0,Action,R,Regular
Regular,1,0,1,0,Drama,PG,Regular
Regular,1,0,1,0,Action,PG_13,Regular
Regular,0,0,1,0,Action,R,Regular
Regular,1,0,1,0,Horror,R,Bad
Short,1,0,1,0,Drama,NOT_RATED,Good
Short,0,0,1,0,Comedy,R,Regular
Regular,1,0,1,0,Comedy,R,Regular
Short,1,0,1,0,Action,NOT_RATED,Good
Short,1,0,1,0,Comedy,R,Regular
Short,1,0,1,0,Others,NOT_RATED,Regular
Short,1,0,1,0,Others,R,Regular
Regular,1,0,1,0,Drama,R,Regular
Regular,1,0,1,0,Comedy,R,Regular
Short,0,0,1,0,Action,R,Bad
Regular,0,0,1,0,Drama,NOT_RATED,Regular
Regular,1,0,1,0,Action,R,Regular
Regular,1,0,0,0,Horror,NOT_RATED,Bad
Regular,1,0,1,0,Drama,NOT_RATED,Regular
Regular,1,0,1,0,Drama,R,Regular
Regular,0,0,1,0,Action,NOT_RATED,Regular
Regular,1,0,1,0,Action,R,Regular
Regular,0,0,1,0,Comedy,R,Regular
Regular,1,0,1,0,Action,NOT_RATED,Regular
Short,1,0,0,0,Horror,R,Regular
Regular,1,0,1,0,Drama,NOT_RATED,Regular
Regular,0,0,1,0,Comedy,PG_13,Bad
Short,0,0,1,0,Others,G,Regular
Regular,0,0,1,0,Comedy,R,Regular
Short,1,0,0,0,Comedy,NOT_RATED,Regular
Regular,0,0,1,0,Action,R,Regular
Regular,1,0,1,0,Action,PG_13,Regular
Regular,1,0,1,0,Comedy,PG_13,Bad
Regular,0,0,1,0,Comedy,R,Regular
Regular,0,0,1,0,Drama,PG_13,Regular
Long,1,0,1,0,Action,R,Regular
Short,1,0,0,0,Comedy,NOT_RATED,Regular
Regular,1,0,1,0,Drama,PG_13,Regular
Regular,0,0,0,0,Drama,NOT_RATED,Good
Regular,1,0,1,0,Action,NOT_RATED,Regular
Regular,1,0,1,0,Action,PG,Regular
Regular,1,0,0,0,Comedy,NOT_RATED,Regular
Regular,0,0,1,0,Comedy,PG,Regular
Regular,1,0,1,0,Action,PG,Regular
Long,1,0,1,0,Comedy,R,Good
Regular,1,0,1,0,Action,R,Regular
Regular,1,0,1,0,Horror,R,Regular
Short,1,0,1,0,Drama,R,Regular
Regular,1,0,1,0,Horror,R,Regular
Long,1,0,1,0,Comedy,R,Regular
Regular,1,0,1,0,Action,R,Regular
Regular,0,0,1,0,Drama,R,Regular
Regular,1,0,1,0,Action,NOT_RATED,Regular
Regular,1,0,1,0,Action,PG_13,Good
Regular,1,0,1,0,Comedy,R,Regular
Regular,1,0,1,0,Drama,PG_13,Regular
Regular,1,0,1,0,Comedy,PG_13,Regular
Regular,1,0,1,0,Drama,PG_13,Regular
Regular,0,0,1,0,Action,NOT_RATED,Regular
