@RELATION movie
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE awardedDirector {0,1}
@ATTRIBUTE oscarDirector {0,1}
@ATTRIBUTE awardedActor {0,1}
@ATTRIBUTE oscarActor {0,1}
@ATTRIBUTE genre {Drama,Horror,Action,Comedy,Others}
@ATTRIBUTE certificate {R, PG_13, PG, NOT_RATED}
@ATTRIBUTE rating {Bad,Regular,Good}
@DATA
131,0,0,1,0,Drama,PG_13,Good
94,0,0,1,0,Comedy,R,Bad
119,0,0,1,0,Comedy,R,Regular
100,0,0,1,0,Action,R,Regular
149,0,0,1,0,Action,PG_13,Regular
98,0,0,1,0,Others,PG,Good
99,0,0,1,0,Comedy,NOT_RATED,Regular
105,0,0,1,0,Comedy,PG_13,Regular
106,0,0,1,0,Drama,NOT_RATED,Good
86,0,0,1,0,Others,PG_13,Regular
134,0,0,1,0,Drama,PG_13,Good
110,0,0,1,0,Action,PG_13,Regular
109,0,0,1,0,Action,R,Regular
117,0,0,1,0,Action,R,Regular
92,0,0,0,0,Action,NOT_RATED,Regular
119,0,0,1,0,Action,R,Regular
111,0,0,1,0,Comedy,R,Regular
80,0,0,0,0,Action,NOT_RATED,Bad
45,0,0,0,0,Drama,NOT_RATED,Bad
0,0,0,0,0,Action,NOT_RATED,Bad
0,0,0,1,0,Drama,NOT_RATED,Bad
100,0,0,1,0,Action,R,Bad
89,0,0,0,0,Action,NOT_RATED,Bad
0,0,0,1,0,Comedy,NOT_RATED,Bad
0,0,0,1,0,Comedy,NOT_RATED,Bad
45,0,0,0,0,Horror,NOT_RATED,Bad
75,0,0,0,0,Action,NOT_RATED,Bad
0,0,0,0,0,Comedy,NOT_RATED,Bad
89,0,0,1,0,Others,NOT_RATED,Bad
79,0,0,0,0,Horror,NOT_RATED,Bad
94,0,0,0,0,Horror,NOT_RATED,Bad
99,0,0,1,0,Action,NOT_RATED,Bad
85,0,0,0,0,Horror,NOT_RATED,Bad
107,0,0,0,0,Drama,NOT_RATED,Bad
106,0,0,0,0,Drama,NOT_RATED,Bad
0,0,0,1,0,Others,NOT_RATED,Bad
0,0,0,0,0,Horror,NOT_RATED,Bad
88,0,0,1,0,Horror,NOT_RATED,Bad
83,0,0,1,0,Action,PG_13,Bad
160,0,0,1,0,Comedy,NOT_RATED,Bad
0,0,0,1,0,Horror,NOT_RATED,Bad
0,0,0,1,0,Comedy,NOT_RATED,Bad
90,0,0,0,0,Horror,NOT_RATED,Bad
80,0,0,0,0,Comedy,R,Bad
75,0,0,0,0,Horror,NOT_RATED,Bad
0,0,0,0,0,Comedy,NOT_RATED,Bad
117,0,0,0,0,Horror,NOT_RATED,Bad
68,0,0,1,0,Drama,NOT_RATED,Bad
130,0,0,0,0,Drama,NOT_RATED,Bad
77,0,0,0,0,Horror,NOT_RATED,Bad
86,0,0,1,0,Horror,NOT_RATED,Bad
0,0,0,0,0,Comedy,NOT_RATED,Bad
80,0,0,0,0,Horror,NOT_RATED,Bad
97,0,0,0,0,Comedy,NOT_RATED,Bad
88,0,0,1,0,Action,NOT_RATED,Bad
75,0,0,0,0,Horror,NOT_RATED,Bad
0,0,0,0,0,Action,NOT_RATED,Bad
146,0,0,1,0,Action,NOT_RATED,Bad
78,0,0,0,0,Action,NOT_RATED,Bad
81,0,0,0,0,Action,NOT_RATED,Bad
95,0,0,0,0,Horror,NOT_RATED,Bad
75,0,0,0,0,Comedy,R,Bad
100,0,0,0,0,Horror,NOT_RATED,Bad
80,0,0,0,0,Horror,NOT_RATED,Bad
90,0,0,0,0,Horror,NOT_RATED,Bad
